latitude,longitude,frp,daynight,datetime
17.90913,82.63764,4.76,D,2026-05-14 07:12:00
17.90961,82.6364,4.82,D,2026-05-14 07:12:00
18.20374,77.79069,12.03,D,2026-05-14 07:12:00
18.2065,77.79298,8.55,D,2026-05-14 07:12:00
18.47787,79.45326,7.81,D,2026-05-14 07:12:00
18.4955,79.12315,11.84,D,2026-05-14 07:12:00
18.65073,83.08579,5.63,D,2026-05-14 07:12:00
18.65134,83.0887,5.63,D,2026-05-14 07:12:00
18.65248,83.08656,6.01,D,2026-05-14 07:12:00
18.65308,83.08948,6.01,D,2026-05-14 07:12:00
18.67493,78.41737,5.33,D,2026-05-14 07:12:00
18.67681,78.41964,6.33,D,2026-05-14 07:12:00
18.77474,83.76781,4.79,D,2026-05-14 07:12:00
18.77524,83.77025,4.79,D,2026-05-14 07:12:00
18.81081,83.82372,8.12,D,2026-05-14 07:12:00
18.81124,83.82584,16.33,D,2026-05-14 07:12:00
18.96376,83.07436,7.3,D,2026-05-14 07:12:00
18.96422,83.07536,6.91,D,2026-05-14 07:12:00
18.99579,82.83526,6.95,D,2026-05-14 07:12:00
18.99646,82.83846,6.95,D,2026-05-14 07:12:00
19.0026,79.09606,5.86,D,2026-05-14 07:12:00
19.00404,79.10222,10.82,D,2026-05-14 07:12:00
19.05691,82.82217,3.92,D,2026-05-14 07:12:00
19.05766,82.82569,7.97,D,2026-05-14 07:12:00
19.06597,82.81261,1.34,D,2026-05-14 07:12:00
19.06982,82.80462,7.62,D,2026-05-14 07:12:00
19.07061,82.80835,12.8,D,2026-05-14 07:12:00
19.09792,82.85927,5.27,D,2026-05-14 07:12:00
19.20367,83.46983,3.54,D,2026-05-14 07:12:00
19.24056,84.37061,2.74,D,2026-05-14 07:12:00
19.2441,84.36716,10.75,D,2026-05-14 07:12:00
19.24504,84.37175,10.75,D,2026-05-14 07:12:00
19.24516,84.36862,13.4,D,2026-05-14 07:12:00
19.51861,78.14767,6.93,D,2026-05-14 07:12:00
19.52018,78.15412,10.75,D,2026-05-14 07:12:00
19.52035,78.14956,10.46,D,2026-05-14 07:12:00
19.54551,83.2357,3.85,D,2026-05-14 07:12:00
19.54667,83.23423,3.37,D,2026-05-14 07:12:00
19.54725,83.23696,3.37,D,2026-05-14 07:12:00
19.59678,83.24392,2.77,D,2026-05-14 07:12:00
19.84798,83.90668,38.04,D,2026-05-14 07:12:00
20.16116,80.66954,2.84,D,2026-05-14 07:12:00
